isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 178 0
true false WEST EAST 177 10
true false EAST NORTH 177 10
true false NORTH SOUTH 177 10
true false SOUTH WEST 177 10
true false WEST EAST 177 10
true false EAST NORTH 177 10
true false NORTH WEST 177 10
true false WEST NORTH 177 10
true false NORTH NORTH 176 20
true false NORTH SOUTH 175 30
true false SOUTH NORTH 175 30
true false NORTH SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST EAST 175 30
true false EAST WEST 175 30
true false WEST SOUTH 175 30
true false SOUTH EAST 175 30
true false EAST NORTH 175 30
true false NORTH EAST 175 30
true false EAST EAST 174 40
true false EAST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST EAST 172 60
true false EAST WEST 171 70
true false WEST NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH WEST 171 70
true false WEST WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH WEST 170 80
true false WEST EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST NORTH 170 80
true false NORTH SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST EAST 169 90
true false EAST SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST EAST 168 100
true false EAST NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH WEST 168 100
true false WEST NORTH 168 100
true false NORTH WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH WEST 168 100
true false WEST WEST 168 100
true false WEST NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH SOUTH 167 110
true false SOUTH NORTH 167 110
true false NORTH EAST 167 110
true false EAST EAST 167 110
true false EAST WEST 167 110
true false WEST SOUTH 167 110
true false SOUTH EAST 167 110
true false EAST SOUTH 167 110
true false SOUTH WEST 167 110
true false WEST NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH WEST 167 110
true false WEST NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH WEST 167 110
true false WEST SOUTH 167 110
true false SOUTH NORTH 167 110
true false NORTH EAST 167 110
true false EAST SOUTH 167 110
true false SOUTH SOUTH 167 110
true false SOUTH NORTH 167 110
true false NORTH WEST 167 110
true false WEST NORTH 167 110
true false NORTH EAST 167 110
true false EAST WEST 167 110
true false WEST EAST 166 120
true false EAST NORTH 166 120
true false NORTH EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST WEST 166 120
true false WEST NORTH 165 130
true false NORTH EAST 165 130
true false EAST EAST 165 130
true false EAST WEST 165 130
true false WEST EAST 165 130
true false EAST WEST 165 130
true false WEST EAST 165 130
true false EAST EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST NORTH 165 130
true false NORTH EAST 165 130
true false EAST WEST 165 130
true false WEST NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH EAST 165 130
true false EAST WEST 165 130
true false WEST SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST NORTH 165 130
true false NORTH EAST 165 130
true false EAST EAST 165 130
true false EAST SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST WEST 164 140
true false WEST NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH WEST 163 150
true false WEST EAST 163 150
true false EAST WEST 163 150
true false WEST EAST 163 150
true false EAST WEST 163 150
true false WEST NORTH 163 150
true false NORTH EAST 163 150
