isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 178 0
true false WEST WEST 177 10
true false WEST SOUTH 176 20
true false SOUTH SOUTH 176 20
true false SOUTH NORTH 176 20
true false NORTH EAST 176 20
true false EAST NORTH 176 20
true false NORTH SOUTH 175 30
true false SOUTH NORTH 175 30
true false NORTH WEST 175 30
true false WEST EAST 175 30
true false EAST EAST 175 30
true false EAST NORTH 175 30
true false NORTH SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST NORTH 174 40
true false NORTH EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH EAST 174 40
true false EAST EAST 174 40
true false EAST EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH WEST 174 40
true false WEST EAST 174 40
true false EAST EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST NORTH 174 40
true false NORTH EAST 174 40
true false EAST WEST 174 40
true false WEST EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST NORTH 174 40
true false NORTH EAST 174 40
true false EAST WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH NORTH 173 50
true false NORTH WEST 173 50
true false WEST EAST 173 50
true false EAST WEST 173 50
true false WEST WEST 173 50
true false WEST WEST 173 50
true false WEST EAST 172 60
true false EAST EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH EAST 172 60
true false EAST EAST 172 60
true false EAST EAST 172 60
true false EAST NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH EAST 172 60
true false EAST WEST 172 60
true false WEST SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST WEST 170 80
true false WEST WEST 169 90
true false WEST NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST WEST 168 100
true false WEST WEST 168 100
true false WEST WEST 168 100
true false WEST SOUTH 167 110
true false SOUTH SOUTH 166 120
true false SOUTH SOUTH 165 130
true false SOUTH EAST 164 140
true false EAST SOUTH 164 140
true false SOUTH NORTH 163 150
true false NORTH EAST 163 150
true false EAST WEST 163 150
true false WEST EAST 163 150
true false EAST EAST 163 150
true false EAST WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH EAST 163 150
true false EAST WEST 163 150
